datadate,fyear,datafmt,tic,epspx
12/31/18,2018,STD,LVS,3.07
12/31/19,2019,STD,LVS,3.5
12/31/20,2020,STD,LVS,-2.21
12/31/21,2021,STD,LVS,-1.51
12/31/22,2022,STD,LVS,-1.4
12/31/23,2023,STD,LVS,1.6
12/31/24,2024,STD,LVS,1.97
12/31/15,2015,STD,MOS,2.79
12/31/16,2016,STD,MOS,0.85
12/31/17,2017,STD,MOS,-0.31
12/31/18,2018,STD,MOS,1.22
12/31/19,2019,STD,MOS,-2.78
12/31/20,2020,STD,MOS,1.76
12/31/21,2021,STD,MOS,4.31
12/31/22,2022,STD,MOS,10.17
12/31/23,2023,STD,MOS,3.52
12/31/24,2024,STD,MOS,0.55
12/31/15,2015,STD,ICE,
12/31/15,2015,STD,ICE,11.45
12/31/16,2016,STD,ICE,
12/31/16,2016,STD,ICE,2.39
12/31/17,2017,STD,ICE,
12/31/17,2017,STD,ICE,4.27
12/31/18,2018,STD,ICE,
12/31/18,2018,STD,ICE,3.46
12/31/19,2019,STD,ICE,
12/31/19,2019,STD,ICE,3.44
12/31/20,2020,STD,ICE,
12/31/20,2020,STD,ICE,3.79
12/31/21,2021,STD,ICE,
12/31/21,2021,STD,ICE,7.22
12/31/22,2022,STD,ICE,
12/31/22,2022,STD,ICE,2.59
12/31/23,2023,STD,ICE,
12/31/23,2023,STD,ICE,4.2
12/31/24,2024,STD,ICE,
12/31/24,2024,STD,ICE,4.8
12/31/15,2015,STD,CF,2.97
12/31/16,2016,STD,CF,-1.19
12/31/17,2017,STD,CF,1.53
12/31/18,2018,STD,CF,1.25
12/31/19,2019,STD,CF,2.24
12/31/20,2020,STD,CF,1.48
12/31/21,2021,STD,CF,4.27
12/31/22,2022,STD,CF,16.45
12/31/23,2023,STD,CF,7.89
12/31/24,2024,STD,CF,6.75
12/31/15,2015,STD,FIS,2.24
12/31/16,2016,STD,FIS,1.74
12/31/17,2017,STD,FIS,4
12/31/18,2018,STD,FIS,2.58
12/31/19,2019,STD,FIS,0.67
12/31/20,2020,STD,FIS,0.26
12/31/21,2021,STD,FIS,0.68
12/31/22,2022,STD,FIS,-27.68
12/31/23,2023,STD,FIS,0.85
12/31/24,2024,STD,FIS,1.42
12/31/15,2015,STD,META,1.31
12/31/16,2016,STD,META,3.56
12/31/17,2017,STD,META,5.49
12/31/18,2018,STD,META,7.65
12/31/19,2019,STD,META,6.48
12/31/20,2020,STD,META,10.22
12/31/21,2021,STD,META,13.99
12/31/22,2022,STD,META,8.63
12/31/23,2023,STD,META,15.19
12/31/24,2024,STD,META,24.61
12/31/15,2015,STD,NOW,-1.27
12/31/16,2016,STD,NOW,-2.75
12/31/17,2017,STD,NOW,-0.87
12/31/18,2018,STD,NOW,-0.15
12/31/19,2019,STD,NOW,3.36
12/31/20,2020,STD,NOW,0.61
12/31/21,2021,STD,NOW,1.16
12/31/22,2022,STD,NOW,1.61
12/31/23,2023,STD,NOW,8.48
12/31/24,2024,STD,NOW,6.92
7/31/15,2015,STD,PANW,-2.02
7/31/16,2016,STD,PANW,-2.59
7/31/17,2017,STD,PANW,-2.39
7/31/18,2018,STD,PANW,-1.61
7/31/19,2019,STD,PANW,-0.87
7/31/20,2020,STD,PANW,-2.76
7/31/21,2021,STD,PANW,-5.18
7/31/22,2022,STD,PANW,-2.71
7/31/23,2023,STD,PANW,1.45
7/31/24,2024,STD,PANW,8.07
12/31/15,2015,STD,MSCI,2.11
12/31/16,2016,STD,MSCI,2.72
12/31/17,2017,STD,MSCI,3.36
12/31/18,2018,STD,MSCI,5.83
12/31/19,2019,STD,MSCI,6.66
12/31/20,2020,STD,MSCI,7.19
12/31/21,2021,STD,MSCI,8.8
12/31/22,2022,STD,MSCI,10.78
12/31/23,2023,STD,MSCI,14.45
12/31/24,2024,STD,MSCI,14.09
12/31/15,2015,STD,AWK,2.66
12/31/16,2016,STD,AWK,2.63
12/31/17,2017,STD,AWK,2.39
12/31/18,2018,STD,AWK,3.16
12/31/19,2019,STD,AWK,3.44
12/31/20,2020,STD,AWK,3.91
12/31/21,2021,STD,AWK,6.96
12/31/22,2022,STD,AWK,4.51
12/31/23,2023,STD,AWK,4.9
12/31/24,2024,STD,AWK,5.39
9/30/15,2015,STD,V,
9/30/15,2015,STD,V,2.58
9/30/16,2016,STD,V,
9/30/16,2016,STD,V,2.48
9/30/17,2017,STD,V,
9/30/17,2017,STD,V,2.8
9/30/18,2018,STD,V,
9/30/18,2018,STD,V,4.43
9/30/19,2019,STD,V,
9/30/19,2019,STD,V,5.32
9/30/20,2020,STD,V,
9/30/20,2020,STD,V,4.9
9/30/21,2021,STD,V,
9/30/21,2021,STD,V,5.63
9/30/22,2022,STD,V,
9/30/22,2022,STD,V,7.01
9/30/23,2023,STD,V,
9/30/23,2023,STD,V,8.29
9/30/24,2024,STD,V,
9/30/24,2024,STD,V,9.74
12/31/15,2015,STD,PM,4.42
12/31/16,2016,STD,PM,4.48
12/31/17,2017,STD,PM,3.88
12/31/18,2018,STD,PM,5.08
12/31/19,2019,STD,PM,4.61
12/31/20,2020,STD,PM,5.16
12/31/21,2021,STD,PM,5.83
12/31/22,2022,STD,PM,5.82
12/31/23,2023,STD,PM,5.02
12/31/24,2024,STD,PM,4.53
12/31/15,2015,STD,VRSK,3.07
12/31/16,2016,STD,VRSK,2.68
12/31/17,2017,STD,VRSK,3.36
12/31/18,2018,STD,VRSK,3.63
12/31/19,2019,STD,VRSK,2.75
12/31/20,2020,STD,VRSK,4.38
12/31/21,2021,STD,VRSK,4.12
12/31/22,2022,STD,VRSK,6.6
12/31/23,2023,STD,VRSK,5.24
12/31/24,2024,STD,VRSK,6.69
10/31/15,2015,STD,AVGO,5.27
10/31/16,2016,STD,AVGO,-4.46
10/31/17,2017,STD,AVGO,4.19
10/31/18,2018,STD,AVGO,29.37
10/31/19,2019,STD,AVGO,6.8
10/31/20,2020,STD,AVGO,6.62
10/31/21,2021,STD,AVGO,15.7
10/31/22,2022,STD,AVGO,27.44
10/31/23,2023,STD,AVGO,33.93
10/31/24,2024,STD,AVGO,1.33
12/31/15,2015,STD,TSLA,-6.93
12/31/16,2016,STD,TSLA,-4.68
12/31/17,2017,STD,TSLA,-11.83
12/31/18,2018,STD,TSLA,-5.72
12/31/19,2019,STD,TSLA,-4.92
12/31/20,2020,STD,TSLA,0.74
12/31/21,2021,STD,TSLA,5.6
12/31/22,2022,STD,TSLA,4.02
12/31/23,2023,STD,TSLA,4.73
12/31/24,2024,STD,TSLA,2.23
12/31/15,2015,STD,LYB,9.63
12/31/16,2016,STD,LYB,9.17
12/31/17,2017,STD,LYB,12.28
12/31/18,2018,STD,LYB,12.06
12/31/19,2019,STD,LYB,9.61
12/31/20,2020,STD,LYB,4.25
12/31/21,2021,STD,LYB,16.79
12/31/22,2022,STD,LYB,11.86
12/31/23,2023,STD,LYB,6.5
12/31/24,2024,STD,LYB,4.15
