,permno,public_date,pe_exi,npm,opmad,roa,roe,de_ratio,intcov_ratio,curr_ratio,TICKER,year,Revenue,EPS
26,10104,2017-03-31,21.447,0.237,0.353,0.138,0.189,1.445,8.27,4.305,ORCL,2017,39831.0,0.93
27,10104,2017-04-30,21.308,0.238,0.35,0.133,0.189,1.491,7.809,4.179,ORCL,2017,39831.0,0.93
28,10104,2017-05-31,21.512,0.238,0.35,0.133,0.189,1.491,7.809,4.179,ORCL,2017,39831.0,0.93
29,10104,2017-06-30,23.763,0.238,0.35,0.133,0.189,1.491,7.809,4.179,ORCL,2017,39831.0,0.93
30,10104,2017-07-31,22.593,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL,2017,39831.0,0.93
31,10104,2017-08-31,22.774,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL,2017,39831.0,0.93
32,10104,2017-09-30,21.878,0.247,0.349,0.126,0.183,1.499,7.323,3.082,ORCL,2017,39831.0,0.93
33,10104,2017-10-31,22.423,0.252,0.348,0.125,0.192,1.47,7.184,3.64,ORCL,2017,39831.0,0.93
34,10104,2017-11-30,21.612,0.252,0.348,0.125,0.192,1.47,7.184,3.64,ORCL,2017,39831.0,0.93
35,10104,2017-12-31,20.828,0.252,0.348,0.125,0.192,1.47,7.184,3.64,ORCL,2017,39831.0,0.93
36,10104,2018-01-31,22.333,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL,2018,39506.0,3.05
37,10104,2018-02-28,21.935,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL,2018,39506.0,3.05
38,10104,2018-03-31,19.805,0.253,0.348,0.126,0.188,1.455,7.204,3.863,ORCL,2018,39506.0,3.05
39,10104,2018-04-30,55.024,0.09,0.351,0.125,0.065,1.548,7.048,3.906,ORCL,2018,39506.0,3.05
40,10104,2018-05-31,56.289,0.09,0.351,0.125,0.065,1.548,7.048,3.906,ORCL,2018,39506.0,3.05
41,10104,2018-06-30,53.084,0.09,0.351,0.125,0.065,1.548,7.048,3.906,ORCL,2018,39506.0,3.05
42,10104,2018-07-31,52.978,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL,2018,39506.0,3.05
43,10104,2018-08-31,53.978,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL,2018,39506.0,3.05
44,10104,2018-09-30,57.289,0.096,0.358,0.125,0.076,1.991,7.045,3.957,ORCL,2018,39506.0,3.05
45,10104,2018-10-31,54.267,0.094,0.351,0.122,0.072,1.884,6.641,4.144,ORCL,2018,39506.0,3.05
46,10104,2018-11-30,54.178,0.094,0.351,0.122,0.072,1.884,6.641,4.144,ORCL,2018,39506.0,3.05
47,10104,2018-12-31,50.167,0.094,0.351,0.122,0.072,1.884,6.641,4.144,ORCL,2018,39506.0,3.05
48,10104,2019-01-31,50.737,0.097,0.349,0.122,0.082,2.208,6.464,3.604,ORCL,2019,39068.0,3.16
49,10104,2019-02-28,52.657,0.097,0.349,0.122,0.082,2.208,6.464,3.604,ORCL,2019,39068.0,3.16
50,10104,2019-03-31,54.253,0.097,0.349,0.122,0.082,2.208,6.464,3.604,ORCL,2019,39068.0,3.16
51,10104,2019-04-30,20.342,0.27,0.35,0.127,0.262,2.559,6.544,3.212,ORCL,2019,39068.0,3.16
52,10104,2019-05-31,18.603,0.27,0.35,0.127,0.262,2.559,6.544,3.212,ORCL,2019,39068.0,3.16
53,10104,2019-06-30,20.945,0.27,0.35,0.127,0.262,2.559,6.544,3.212,ORCL,2019,39068.0,3.16
54,10104,2019-07-31,18.956,0.281,0.353,0.137,0.327,3.964,6.704,2.49,ORCL,2019,39068.0,3.16
55,10104,2019-08-31,17.529,0.281,0.353,0.137,0.327,3.964,6.704,2.49,ORCL,2019,39068.0,3.16
56,10104,2019-09-30,18.529,0.281,0.353,0.137,0.327,3.964,6.704,2.49,ORCL,2019,39068.0,3.16
57,10104,2019-10-31,17.749,0.277,0.355,0.146,0.383,3.661,6.863,2.55,ORCL,2019,39068.0,3.16
58,10104,2019-11-30,18.287,0.277,0.355,0.146,0.383,3.661,6.863,2.55,ORCL,2019,39068.0,3.16
59,10104,2019-12-31,17.257,0.277,0.355,0.146,0.383,3.661,6.863,2.55,ORCL,2019,39068.0,3.16
60,10104,2020-01-31,16.651,0.276,0.354,0.154,0.461,4.29,7.036,2.439,ORCL,2020,40479.0,4.67
61,10104,2020-02-29,15.702,0.276,0.354,0.154,0.461,4.29,7.036,2.439,ORCL,2020,40479.0,4.67
62,10104,2020-03-31,15.343,0.276,0.354,0.154,0.461,4.29,7.036,2.439,ORCL,2020,40479.0,4.67
63,10104,2020-04-30,16.71,0.271,0.357,0.163,0.54,4.822,7.31,2.311,ORCL,2020,40479.0,4.67
64,10104,2020-05-31,16.962,0.271,0.357,0.163,0.54,4.822,7.31,2.311,ORCL,2020,40479.0,4.67
65,10104,2020-06-30,17.435,0.271,0.357,0.163,0.54,4.822,7.31,2.311,ORCL,2020,40479.0,4.67
66,10104,2020-07-31,18.003,0.259,0.362,0.153,0.593,8.508,7.087,3.031,ORCL,2020,40479.0,4.67
67,10104,2020-08-31,18.578,0.259,0.362,0.153,0.593,8.508,7.087,3.031,ORCL,2020,40479.0,4.67
68,10104,2020-09-30,19.383,0.259,0.362,0.153,0.593,8.508,7.087,3.031,ORCL,2020,40479.0,4.67
69,10104,2020-10-31,17.589,0.261,0.371,0.168,0.679,7.208,6.887,2.566,ORCL,2020,40479.0,4.67
70,10104,2020-11-30,18.094,0.261,0.371,0.168,0.679,7.208,6.887,2.566,ORCL,2020,40479.0,4.67
71,10104,2020-12-31,20.279,0.261,0.371,0.168,0.679,7.208,6.887,2.566,ORCL,2020,40479.0,4.67
72,10104,2021-01-31,18.257,0.263,0.381,0.169,0.808,8.906,6.678,2.489,ORCL,2021,42440.0,2.49
73,10104,2021-02-28,19.489,0.263,0.381,0.169,0.808,8.906,6.678,2.489,ORCL,2021,42440.0,2.49
